X,Y
867,751689
868,753424
869,755161
870,756900
871,758641
872,760384
873,762129
874,763876
875,765625
876,767376
877,769129
878,770884
879,772641
880,774400
881,776161
882,777924
883,779689
884,781456
885,783225
886,784996
887,786769
888,788544
889,790321
890,792100
891,793881
892,795664
893,797449
894,799236
895,801025
896,802816
897,804609
898,806404
899,808201
900,810000
901,811801
902,813604
903,815409
904,817216
905,819025
906,820836
907,822649
908,824464
909,826281
910,828100
911,829921
912,831744
913,833569
914,835396
915,837225
916,839056
917,840889
918,842724
919,844561
920,846400
921,848241
922,850084
923,851929
924,853776
925,855625
926,857476
927,859329
928,861184
929,863041
930,864900
931,866761
932,868624
933,870489
934,872356
935,874225
936,876096
937,877969
938,879844
939,881721
940,883600
941,885481
942,887364
943,889249
944,891136
945,893025
946,894916
947,896809
948,898704
949,900601
950,902500
951,904401
952,906304
953,908209
954,910116
955,912025
956,913936
957,915849
958,917764
959,919681
960,921600
961,923521
962,925444
963,927369
964,929296
965,931225
966,933156
967,935089
968,937024
969,938961
970,940900
971,942841
972,944784
973,946729
974,948676
975,950625
976,952576
977,954529
978,956484
979,958441
980,960400
981,962361
982,964324
983,966289
984,968256
985,970225
986,972196
987,974169
988,976144
989,978121
990,980100
991,982081
992,984064
993,986049
994,988036
995,990025
996,992016
997,994009
998,996004
999,998001
1000,1000000
